iter	Passed	Remaining
0	55	55806
1	57	28548
2	58	19473
3	59	14916
4	61	12206
5	62	10393
6	64	9083
7	65	8112
8	66	7344
9	68	6732
10	69	6237
11	70	5830
12	72	5479
13	73	5177
14	74	4917
15	76	4691
16	77	4492
17	79	4313
18	80	4152
19	81	4008
20	83	3883
21	84	3763
22	85	3649
23	87	3540
24	88	3445
25	89	3360
26	90	3277
27	92	3199
28	93	3129
29	94	3063
30	96	3001
31	97	2942
32	98	2886
33	99	2835
34	101	2788
35	102	2744
36	103	2700
37	105	2658
38	106	2617
39	107	2578
40	108	2543
41	109	2508
42	111	2473
43	112	2442
44	113	2412
45	114	2382
46	116	2355
47	117	2328
48	118	2301
49	119	2275
50	121	2251
51	122	2228
52	123	2205
53	124	2183
54	125	2162
55	127	2142
56	128	2126
57	129	2107
58	131	2089
59	132	2074
60	133	2058
61	135	2044
62	136	2028
63	137	2013
64	138	1999
65	140	1988
66	141	1976
67	143	1963
68	144	1951
69	145	1937
70	147	1926
71	148	1915
72	150	1905
73	151	1895
74	152	1883
75	154	1873
76	155	1863
77	156	1853
78	158	1842
79	159	1832
80	160	1823
81	161	1812
82	163	1803
83	164	1794
84	165	1784
85	167	1776
86	168	1767
87	169	1758
88	171	1750
89	172	1744
90	173	1737
91	175	1729
92	176	1722
93	177	1715
94	179	1707
95	180	1702
96	181	1693
97	183	1686
98	184	1679
99	185	1672
100	187	1666
101	188	1659
102	189	1653
103	191	1646
104	192	1641
105	193	1635
106	195	1629
107	196	1624
108	197	1618
109	199	1613
110	200	1606
111	201	1600
112	203	1595
113	204	1590
114	206	1585
115	207	1579
116	208	1574
117	209	1569
118	211	1564
119	212	1561
120	214	1556
121	215	1551
122	216	1545
123	218	1542
124	219	1538
125	221	1533
126	222	1528
127	223	1524
128	225	1519
129	226	1514
130	227	1509
131	228	1504
132	230	1499
133	231	1494
134	232	1489
135	233	1485
136	234	1480
137	236	1475
138	237	1469
139	238	1464
140	239	1459
141	240	1454
142	242	1450
143	243	1446
144	244	1442
145	245	1437
146	246	1433
147	248	1428
148	249	1424
149	250	1420
150	251	1416
151	253	1412
152	254	1408
153	255	1404
154	256	1399
155	258	1396
156	259	1392
157	260	1388
158	261	1385
159	263	1382
160	264	1378
161	265	1375
162	267	1371
163	268	1367
164	269	1364
165	270	1360
166	272	1357
167	273	1353
168	274	1349
169	275	1346
170	276	1342
171	278	1339
172	279	1336
